  pid   typ      v1      v2       Δ
  a28   ang  111.99  108.90   -3.09
  a28     k  237.85   20.49 -217.37
  a29   ang  108.18  101.81   -6.37
  a29     k  329.04    9.33 -319.70
  a30   ang  125.16  122.47   -2.68
  a30     k  308.44  286.81  -21.64
  a31   ang  117.37  120.55    3.18
  a31     k  197.58   68.12 -129.46
  a32   ang  106.81   88.57  -18.24
  a32     k  134.39    0.39 -134.00
  a33   ang  104.58  104.65    0.07
  a33     k  231.90    7.90 -224.01
  a34   ang  101.21   96.19   -5.02
  a34     k  190.24    4.23 -186.01
  a35   ang  180.00  180.00    0.00
  a35     k  140.00  140.00    0.00
  a36   ang  112.65  112.54   -0.11
  a36     k  260.09  236.90  -23.19
  a37   ang   92.72   91.26   -1.46
  a37     k  219.42    0.00 -219.42
  a38   ang   99.19   95.79   -3.40
  a38     k  283.12    6.24 -276.88
  a39   ang   95.00   98.21    3.21
  a39     k  171.04   28.59 -142.45
  a40   ang  108.38   97.38  -11.00
  a40     k  136.75   20.03 -116.72
   t1    k1    0.15    0.03   -0.12
   t2    k1    0.43   -0.04   -0.47
   t2    k2    0.25   -0.12   -0.38
   t2    k3    0.87   -0.06   -0.93
   t3    k1    0.25   -0.02   -0.27
   t4    k1    0.09    0.01   -0.08
   t5    k1   -0.07    0.19    0.26
   t5    k2    0.39   -0.00   -0.40
   t6    k1    0.07    0.28    0.21
   t6    k2   -0.20    0.33    0.53
   t7    k1    0.64    0.69    0.05
   t7    k2   -1.41   -1.24    0.17
   t8    k1    1.08    0.52   -0.55
   t8    k2   -0.11   -0.50   -0.38
   t9    k1    0.10    0.17    0.07
   t9    k2    0.48   -0.02   -0.51
  t10    k1    0.11    0.07   -0.04
  t10    k2    0.43   -0.54   -0.96
  t11    k1    0.22    0.01   -0.21
  t11    k2    0.69   -0.25   -0.95
  t12    k1    0.13    0.07   -0.07
  t12    k2    0.61    0.16   -0.44
  t13    k1    1.76   -0.21   -1.97
  t14    k1    0.38    0.03   -0.36
  t15    k1   -2.74   -0.66    2.08
  t16    k1   -0.67    0.03    0.70
  t16    k2    4.60    2.46   -2.14
  t17    k1    0.18   -0.01   -0.19
  t18    k1   -0.43   -0.15    0.28
 t18a    k1   -0.20   -0.61   -0.41
 t18b    k1   -0.19   -0.19    0.00
  t19    k1    0.92   -0.61   -1.52
  t19    k2    0.21    0.09   -0.11
  t19    k3   -0.17   -0.07    0.11
 t19a    k1   -0.06   -0.56   -0.50
 t19a    k2    0.34    0.02   -0.32
 t19a    k3    0.25   -0.17   -0.42
  t20    k1    0.27    0.01   -0.26
  t20    k2    0.19    0.03   -0.17
  t21    k1   -0.15   -0.20   -0.05
  t21    k2    0.56   -0.03   -0.60
  t22    k1   -0.49   -2.32   -1.83
  t22    k2    0.56    0.75    0.18
  t23    k1   -0.28   -0.04    0.24
  t23    k2    0.27   -0.13   -0.40
  t24    k1   -0.60   -0.09    0.51
  t24    k2   -0.29   -0.43   -0.14
  t25    k1   -0.26   -0.19    0.07
  t25    k2   -0.18    0.49    0.67
  t25    k3   -0.80   -0.45    0.35
  t25    k4    0.07    0.13    0.06
  t25    k5    0.08    0.19    0.11
  t26    k1    0.18   -0.08   -0.26
  t26    k2   -0.03   -0.15   -0.12
  t26    k3    0.78    0.38   -0.40
  t26    k4   -0.12    0.29    0.40
  t26    k5   -0.09    0.01    0.10
  t26    k6   -0.52   -0.62   -0.11
  t27    k1    0.45   -0.18   -0.63
  t28    k1    0.49    0.21   -0.28
  t28    k2    0.20    1.94    1.74
  t29    k1    0.03    0.14    0.11
  t29    k2    0.33    0.04   -0.29
  t29    k3   -0.18    0.55    0.73
  t30    k1   -0.41   -0.90   -0.49
  t30    k2    0.72    2.25    1.53
  t30    k3   -0.42    0.75    1.17
  t31    k1    1.19    0.48   -0.71
  t31    k2   -0.62    2.85    3.47
  t31    k3    0.06   -0.01   -0.07
 t31a    k1    1.76    1.03   -0.73
 t31a    k2   -0.22    2.94    3.17
 t31a    k3   -0.08   -0.46   -0.38
  t32    k1   -0.42    0.86    1.28
  t33    k1    0.07   -0.11   -0.18
  t33    k2   -0.36    0.49    0.86
  t34    k1    0.25   -0.07   -0.31
  t34    k2   -2.71    0.58    3.29
  t34    k3    2.36    1.86   -0.49
  t35    k1    0.03   -0.01   -0.04
  t35    k2    1.45    0.43   -1.02
  t36    k1   -0.05    0.10    0.15
  t36    k2    0.13   -0.62   -0.75
  t36    k3    2.33   -0.82   -3.15
  t37    k1   -0.28    0.10    0.38
  t38    k1    0.42    2.37    1.96
  t39    k1    2.10    0.36   -1.73
  t39    k2   -0.47   -0.23    0.23
  t39    k3    1.31   -0.29   -1.61
  t40    k1   -0.89   -0.28    0.61
  t40    k2    1.35    0.73   -0.62
  t40    k3   -0.13    0.04    0.16
  t41    k1   -0.10   -0.11   -0.01
  t41    k2    2.45    1.11   -1.35
  t42    k1   -0.95   -0.57    0.37
 t42a    k1   -0.48   -0.90   -0.42
  t43    k1    1.23    0.60   -0.63
  t44    k1    3.26   -0.68   -3.95
  t45    k1    4.65   -0.52   -5.17
  t46    k1    3.15   -0.76   -3.91
  t46    k2   -0.42   -3.60   -3.19
  t47    k1    1.06    0.55   -0.50
  t48    k1    1.05    0.42   -0.64
  t48    k2    0.62   -0.20   -0.82
 t48a    k1   -0.02    0.72    0.74
 t48a    k2   -1.08    2.42    3.50
  t49    k1    4.31    1.48   -2.83
  t50    k1    0.12    0.03   -0.09
  t51    k1    0.31    0.11   -0.20
  t52    k1    0.63    0.47   -0.17
  t52    k2   -0.20   -2.42   -2.22
  t53    k1    0.37   -0.47   -0.84
  t53    k2   -0.17    0.06    0.23
  t54    k1   -0.49   -1.57   -1.08
  t54    k2    3.72    2.51   -1.21
  t55    k1    0.24   -0.74   -0.98
  t55    k2    4.61    0.72   -3.89
  t56    k1    0.53   -0.38   -0.91
  t57    k1    0.85   -0.16   -1.01
  t58    k1    0.05   -0.11   -0.15
  t58    k2    0.22    0.24    0.03
  t59    k1   -1.36    0.38    1.73
  t60    k1   -0.11   -1.05   -0.95
  t61    k1    0.25   -0.20   -0.46
  t62    k1    1.26   -0.11   -1.37
  t63    k1   -0.00    0.64    0.64
  t64    k1    0.32   -0.03   -0.35
  t64    k2    0.25    0.03   -0.22
  t65    k1    0.06   -0.13   -0.19
  t66    k1   -0.56    0.42    0.98
  t66    k2   -0.57    1.36    1.93
  t67    k1   -0.10    0.07    0.17
  t67    k2   -0.23    0.15    0.38
  t67    k3    0.86   -0.57   -1.43
  t67    k4   -0.10    0.09    0.19
  t68    k1    1.89    0.66   -1.23
  t68    k2   -0.65   -2.36   -1.71
  t69    k1    0.54    0.09   -0.45
  t69    k2   -1.02   -0.04    0.98
  t69    k3   -1.10   -0.39    0.71
  t70    k1   -0.51   -1.20   -0.69
  t71    k1    1.65   -0.79   -2.43
  t72    k1    1.07    0.61   -0.45
  t73    k1    0.70    0.34   -0.36
  t74    k1    1.37    0.03   -1.35
  t75    k1    2.17    0.06   -2.11
  t75    k2    0.30   -0.25   -0.55
  t76    k1    0.63    0.15   -0.48
  t76    k2    1.27    0.26   -1.01
  t77    k1    2.51    1.47   -1.04
  t77    k2   -0.53   -0.26    0.27
  t78    k1    1.35    0.16   -1.19
  t78    k2    1.21    1.16   -0.05
  t79    k1    0.98    0.38   -0.60
  t79    k2    0.79    0.14   -0.65
  t80    k1    1.49   -0.63   -2.12
  t81    k1    0.49    0.49    0.00
  t82    k1    1.02    1.15    0.14
 t82a    k1    0.61    1.35    0.74
  t83    k1    1.40    0.00   -1.40
 t83a    k1    1.08    1.51    0.43
  t84    k1    2.21    2.43    0.23
  t85    k1    5.59    4.96   -0.63
  t86    k1    8.05    1.48   -6.57
  t87    k1    1.09    0.73   -0.36
 t87a    k1    0.81    0.81    0.00
  t88    k1    3.12   -0.26   -3.38
  t89    k1    3.60    0.01   -3.59
  t90    k1    1.93    1.39   -0.54
  t91    k1    0.45   -0.26   -0.71
  t92    k1    0.37   -0.95   -1.33
  t93    k1    1.02    0.36   -0.66
  t94    k1    0.45    0.14   -0.30
  t94    k2    0.12    0.20    0.08
  t95    k1    0.74   -0.04   -0.78
  t96    k1    0.48    0.05   -0.44
  t96    k2   -0.16    0.22    0.38
  t97    k1    0.13    0.00   -0.13
  t97    k2    0.46    0.20   -0.25
  t98    k1    0.14    0.49    0.35
  t98    k2    0.67    0.35   -0.32
  t98    k3    1.51    1.85    0.34
  t99    k1   -0.09    0.77    0.86
  t99    k2    0.46   -0.26   -0.72
 t100    k1   -1.80    1.49    3.30
 t101    k1   -0.67    2.61    3.28
 t102    k1    0.46   -0.09   -0.55
 t102    k2    0.06   -0.13   -0.19
 t102    k3   -0.28   -0.11    0.16
 t103    k1    0.37    0.07   -0.30
 t103    k2    0.11   -0.04   -0.16
 t103    k3   -0.45    0.11    0.55
 t104    k1    0.52    1.32    0.79
 t104    k2    0.68    0.12   -0.57
 t104    k3   -0.01   -0.51   -0.50
 t105    k1    1.59    0.40   -1.19
 t106    k1    0.97    0.57   -0.40
 t107    k1    3.45    0.83   -2.63
 t108    k1    3.24    0.68   -2.56
 t109    k1    2.73    2.57   -0.16
 t109    k2   -0.20    3.26    3.45
 t110    k1    0.28    3.22    2.93
 t110    k2    1.35    4.23    2.88
 t111    k1    1.73    0.27   -1.46
 t112    k1    7.92    7.92    0.00
 t113    k1    0.63    0.73    0.10
 t114    k1   -1.98   -2.62   -0.64
 t115    k1    0.35    0.11   -0.24
 t116    k1    0.41   -0.10   -0.51
 t117    k1    8.98    2.99   -5.99
 t118    k1    0.25    0.05   -0.20
 t119    k1   -0.62    0.03    0.65
 t120    k1   -0.20   -0.24   -0.04
 t121    k1    0.43    0.51    0.08
 t122    k1    0.58   -0.15   -0.74
 t123    k1  -10.85  -10.85    0.00
t123a    k1    0.11    0.06   -0.05
 t124    k1   -2.19   -3.90   -1.71
 t124    k2    0.28   -0.12   -0.40
 t125    k1    2.01    3.43    1.42
 t126    k1    0.92    0.93    0.02
 t127    k1    1.94    2.29    0.35
 t128    k1    1.12    2.57    1.45
 t129    k1  -19.91  -10.74    9.17
 t130    k1    0.85   -1.31   -2.16
 t131    k1    0.09   -0.05   -0.14
