"","pid","v1","v2","v3","p12","p13","p23","d12","d13","d23"
"17","b9-k",467.3752485468,466.7851134707,481.9986420085,0.126265795618157,-3.12883352448984,-3.25921459334519,0.590135076099955,-14.6233934617,-15.2135285378
"18","b9-length",1.469242986682,1.451338252105,1.46411692844,1.21863672240045,0.348891115252235,-0.880475403750019,0.017904734577,0.00512605824200008,-0.012778676335
"19","b10-k",644.6314222627,647.835439636,640.7666459884,-0.497030902101197,0.599532716033969,1.09114031359133,-3.20401737330008,3.86477627429997,7.06879364760005
"20","b10-length",1.388092539119,1.382023084776,1.392195772029,0.437251420344942,-0.29560225952977,-0.736072165874763,0.00606945434299999,-0.00410323290999992,-0.0101726872529999
"21","b11-k",566.4793948211,595.4969525661,611.5526455995,-5.1224383464405,-7.95673261736813,-2.69618391231276,-29.0175577450001,-45.0732507784001,-16.0556930334
"22","b11-length",1.366329573172,1.362978986965,1.362063237842,0.245225330168436,0.3122478949274,0.0671873250987685,0.00335058620700002,0.00426633533000009,0.000915749123000076
"23","b12-k",760.4093054565,754.758103501,795.3920476816,0.743178958351555,-4.6005147456867,-5.38370426128802,5.65120195549991,-34.9827422251001,-40.6339441806
"24","b12-length",1.337191333766,1.322701027181,1.319934031143,1.08363748845052,1.29056345096086,0.209192854707104,0.0144903065849999,0.0172573026230001,0.00276699603800012
"25","b13-k",1023.286029691,1031.298425313,998.246661152,-0.783006450739838,2.44695694189835,3.20486906115161,-8.0123956220001,25.039368539,33.0517641610001
"26","b13-length",1.306529281865,1.291485358255,1.306859372344,1.15144174867061,-0.0252646828189587,-1.1904133477574,0.01504392361,-0.000330090479000011,-0.015374014089
"27","b13a-k",1171.510786135,1171.510786135,1171.510786135,0,0,0,0,0,0
"28","b13a-length",1.304468222569,1.304468222569,1.304468222569,0,0,0,0,0,0
"29","b14-k",545.2782783431,489.6996426729,513.7368280557,10.1927103788332,5.78446850720753,-4.90855685570837,55.5786356702001,31.5414502874,-24.0371853828
"30","b14-length",1.423822414975,1.426749085199,1.428208559131,-0.205550228260118,-0.308054158290312,-0.102293665167945,-0.00292667022399984,-0.00438614415600003,-0.00145947393200019
"31","b15-k",1090.071176574,1143.617093554,1089.600969949,-4.91214868631699,0.0431354057519221,4.72327004462086,-53.5459169799999,0.470206624999946,54.0161236049998
"32","b15-length",1.278958196232,1.261196772023,1.255016342444,1.38874157586447,1.87198094969299,0.490044830124834,0.0177614242090001,0.0239418537880001,0.006180429579
"33","b16-k",434.3139352817,447.272736584,463.1791281029,-2.9837406193045,-6.64615856787504,-3.55630697287375,-12.9588013022999,-28.8651928212,-15.9063915189
"34","b16-length",1.421832315661,1.433417747756,1.417726542996,-0.814824080687319,0.288766306671772,1.09467074651227,-0.011585432095,0.00410577266500001,0.01569120476
"35","b17-k",598.9859275918,595.6772017201,596.9703514861,0.552387914187326,0.336498073302582,-0.217089014363114,3.30872587169995,2.01557610570001,-1.29314976599994
"36","b17-length",1.357746519746,1.369375355119,1.359965170744,-0.856480587788621,-0.16340686319086,0.687188091988286,-0.0116288353730001,-0.002218650998,0.00941018437500007
"37","b18-k",673.9493155918,565.314760905,626.5615675918,16.119098598892,7.03135189897603,-10.834107106765,108.6345546868,47.387748,-61.2468066868
"38","b18-length",1.367997231102,1.370112344564,1.375850223775,-0.154613870109667,-0.574050333908495,-0.418788957983298,-0.00211511346199988,-0.00785299267299999,-0.00573787921100011
"39","b19-k",650.5820092964,639.3778174122,650.966144452,1.72217979041831,-0.0590448475535691,-1.81243808030474,11.2041918842,-0.384135155600006,-11.5883270398
"40","b19-length",1.375666333304,1.369669552789,1.36596079128,0.435918243386631,0.705515704574215,0.270777831152624,0.00599678051500008,0.00970554202399998,0.0037087615089999
"41","b20-k",584.2817678325,558.8729584613,613.5047324068,4.34872535308755,-5.00151916132998,-9.77534753084374,25.4088093712001,-29.2229645743,-54.6317739455001
"42","b20-length",1.329462769246,1.338362121191,1.338896444818,-0.669394596890236,-0.709585540131404,-0.0399236961760865,-0.00889935194500002,-0.00943367557200014,-0.000534323627000122
"43","b21-k",1527.019744047,1524.610050044,1536.664467701,0.157803722734691,-0.631604384396432,-0.790655791403975,2.40969400299991,-9.64472365400002,-12.0544176569999
"44","b21-length",1.221668642702,1.224163012114,1.210263565058,-0.204177247807802,0.933565554958918,1.13542452422223,-0.00249436941199987,0.011405077644,0.0138994470559999
"45","b22-k",1187.240374941,1202.788829944,1172.372583134,-1.3096299057192,1.25229836525218,2.52881021612216,-15.5484550030001,14.867791807,30.4162468100001
"46","b22-length",1.254210140463,1.251950678004,1.240321738562,0.180150230500122,1.10734249811383,0.928865621171283,0.00225946245899999,0.0138884019009999,0.0116289394419999
"47","b23-k",603.5798890353,600.5745707649,601.6075398614,0.497915574225529,0.326775164270689,-0.171996808853292,3.00531827039993,1.97234917389994,-1.03296909649998
"48","b23-length",1.381088666112,1.39067449348,1.380030729345,-0.694077621749339,0.0766016544019819,0.765367034838262,-0.00958582736799984,0.00105793676700006,0.0106437641349999
"49","b24-k",669.7030665096,641.5730719278,654.4024527477,4.20036819129554,2.28468623290689,-1.99967570043895,28.1299945818,15.3006137619001,-12.8293808198999
"50","b24-length",1.441393771474,1.492266376794,1.432114556296,-3.52940371512614,0.643766843012703,4.03090369342978,-0.0508726053200002,0.0092792151779999,0.0601518204980001
