param    count     abs_mean      std
 t119     2143   1.83820666  14.0048
 t120     1284   0.48541547   5.9799
 t121    52400   0.18245932   3.1216
 t122     9572   0.15242018   2.0359
t123a     1545   0.91151921   3.3028
 t124      216   0.13121575   2.8639
 t125       11   1.57760243   1.3993
 t126       10   1.03366388   1.6767
 t127      599   0.58699612   2.6358
 t128      122   0.41252731   2.2681
 t129     2320   0.00043526   2.3163
 t130       46   0.12704287   3.4286
 t131       32   0.58403054   2.9692
 t132      164   1.07408188   2.8516
 t133       10   2.63385430   1.7629
 t134     1060   1.16976460   3.2540
 t135      604   0.51045817   2.6705
 t136      480   0.93554202   2.9649
 t137      160   0.39517431   2.3091
 t138    31746   0.04448826   2.6498
 t139     1924   0.00718635   2.1848
 t140     4001   0.28117554   2.4674
 t141       34   1.68710816   2.6603
t141a    42330   0.07636964   2.5360
t141b     7914   0.07555942   2.3548
t141c    16580   0.04255971   2.6911
 t142      751   0.09468266   1.8984
 t143     1169   0.51385358   2.4202
 t144      455   0.40367512   3.2909
 t145     3689   0.38191938   3.0861
 t146      753   0.30739963   2.9161
 t147     4971   0.40615442   4.2370
 t148     8745   0.27244697   3.1071
 t149    11974   0.32362030   4.0323
 t150     1552   0.81892637   2.5106
 t151      415   0.29100464   3.2188
 t152     4158   0.69394155   2.7073
 t153      357   0.26196079   2.0506
 t154     1944   0.42216633   2.4958
 t155       56   0.22113983   2.3903
 t156      271   0.28384630   2.5671
 t157      475   0.26103053   2.1359
 t158       62   0.43796512   1.7246
 t159      664   0.90195667   3.4226
 t160       66   0.98085970   2.9933
 t161      108   0.72668437   2.1926
 t162       27   0.72668437   2.1926
 t163       27   0.72668437   2.1926
 t165     1308   0.28368763   2.0358
 t166    14830   0.07909169   2.5700
 t167      122   0.57365896   1.3787
